구분1,구분2,거래일,티커,종목명,거래유형,거래수량,평균단가,금액
위험,국내주식_지수,2025-07-07,069500,KODEX 200,매수,955,41959.0,40071250
위험,국내주식_지수,2025-07-24,069500,KODEX 200,매수,458,43615.0,19975670
위험,국내주식_지수,2025-08-05,069500,KODEX 200,매수,462,43200.0,19958400
위험,국내주식_섹터,2025-07-07,091160,KODEX 반도체,매수,648,37016.0,23986650
위험,국내주식_섹터,2025-07-29,091160,KODEX 반도체,매수,432,36970.0,15971040
위험,국내주식_섹터,2025-08-25,091160,KODEX 반도체,매수,501,36753.0,18413253
위험,국내주식_섹터,2025-07-29,091180,KODEX 자동차,매수,754,19890.0,14997060
위험,국내주식_섹터,2025-08-04,091180,KODEX 자동차,매도,754,19058.0,14369732
위험,FX 및 원자재,2025-07-07,132030,KODEX 골드선물(H),매수,2000,19774.0,39547000
위험,FX 및 원자재,2025-07-24,144600,KODEX 은선물(H),매수,5847,6840.0,39993480
위험,FX 및 원자재,2025-08-04,144600,KODEX 은선물(H),매도,5847,6418.0,37526046
위험,국내주식_섹터,2025-07-07,147970,TIGER 모멘텀,매수,519,43966.0,22818515
위험,국내주식_섹터,2025-07-29,147970,TIGER 모멘텀,매도,519,45116.0,23414967
위험,해외주식_지수,2025-08-29,192090,TIGER 차이나CSI300,매수,1711,11644.0,19922884
위험,국내주식_지수,2025-07-08,229200,KODEX 코스닥150,매수,3162,12641.0,39969300
위험,국내주식_지수,2025-07-24,229200,KODEX 코스닥150,매도,688,13670.0,9404960
위험,국내주식_지수,2025-08-05,229200,KODEX 코스닥150,매수,2252,13320.0,29996640
위험,해외주식_지수,2025-07-24,241180,TIGER 일본니케이225,매수,844,23655.0,19964820
위험,해외주식_지수,2025-08-29,241180,TIGER 일본니케이225,매수,822,24344.0,20010768
위험,해외주식_지수,2025-08-29,241180,TIGER 일본니케이225,매수,820,24339.0,19957980
위험,해외주식_지수,2025-07-08,245340,TIGER 미국다우존스30,매수,806,29698.0,23936260
위험,해외주식_지수,2025-07-09,245710,ACE 베트남VN30(합성),매수,1051,22823.0,23987455
위험,해외주식_지수,2025-07-24,245710,ACE 베트남VN30(합성),매도,1051,24566.0,25818465
위험,해외주식_지수,2025-09-11,245710,ACE 베트남VN30(합성),매수,555,27194.0,15092450
위험,해외주식_지수,2025-07-08,251350,KODEX 선진국MSCI World,매수,755,31765.0,23982850
위험,해외주식_지수,2025-08-27,251350,KODEX 선진국MSCI World,매도,755,33400.0,25217000
위험,FX 및 원자재,2025-07-08,271060,KODEX 3대농산물선물(H),매수,4925,8150.0,40136669
위험,FX 및 원자재,2025-08-04,271060,KODEX 3대농산물선물(H),매도,1595,7715.0,12305425
위험,FX 및 원자재,2025-08-05,271060,KODEX 3대농산물선물(H),매도,1014,7645.0,7752030
위험,FX 및 원자재,2025-08-07,271060,KODEX 3대농산물선물(H),매도,2316,7622.0,17652552
안전,국내채권_종합,2025-07-07,272560,RISE 단기국공채액티브,매수,423,113510.0,48014861
위험,해외주식_지수,2025-07-09,283580,KODEX 차이나CSI300,매수,1952,12276.0,23963261
위험,해외주식_지수,2025-07-24,283580,KODEX 차이나CSI300,매도,1952,12876.0,25134260
위험,해외주식_지수,2025-07-08,304940,KODEX 미국나스닥100선물(H),매수,914,26132.0,23884895
위험,해외주식_지수,2025-08-22,304940,KODEX 미국나스닥100선물(H),매도,541,26408.0,14286728
위험,해외주식_지수,2025-08-29,304940,KODEX 미국나스닥100선물(H),매수,740,27007.0,19985180
안전,해외채권_종합,2025-08-08,305080,TIGER 미국채10년선물,매수,2388,12555.0,29981340
위험,해외주식_지수,2025-08-05,360750,TIGER 미국S&P500,매수,915,21845.0,19988175
위험,해외주식_지수,2025-08-29,360750,TIGER 미국S&P500,매수,466,22400.0,10438400
위험,해외주식_지수,2025-07-24,371160,TIGER 차이나항셍테크,매수,3446,8704.0,29993984
위험,해외주식_지수,2025-08-18,371160,TIGER 차이나항셍테크,매도,3446,8500.0,29291000
위험,해외주식_지수,2025-08-27,381180,TIGER 미국필라델피아반도체나스닥,매수,870,21290.0,18522300
안전,국내채권_회사채,2025-07-08,438330,TIGER 투자등급회사채액티브,매수,409,117184.0,47928445
위험,국내주식_섹터,2025-07-07,449450,PLUS K방산,매수,510,47030.0,23985300
위험,국내주식_섹터,2025-08-05,449450,PLUS K방산,매수,146,54730.0,7990580
위험,국내주식_섹터,2025-08-25,449450,PLUS K방산,매도,656,51040.0,33482240
위험,해외주식_섹터,2025-07-08,453650,KODEX 미국S&P500금융,매수,1119,17865.0,19990935
위험,해외주식_섹터,2025-08-27,453650,KODEX 미국S&P500금융,매도,1119,18480.0,20679120
위험,해외주식_지수,2025-07-08,453870,TIGER 인도니프티50,매수,1767,13566.0,23971155
위험,해외주식_지수,2025-08-18,453870,TIGER 인도니프티50,매도,1387,13035.0,18079545
위험,해외주식_지수,2025-08-18,453870,TIGER 인도니프티50,매도,380,13040.0,4955200
위험,해외주식_섹터,2025-08-07,456600,TIMEFOLIO 글로벌AI인공지능액티브,매수,466,32231.0,15019646
위험,해외주식_섹터,2025-08-08,456600,TIMEFOLIO 글로벌AI인공지능액티브,매수,465,32255.0,14998575
안전,해외채권_종합,2025-07-08,458250,TIGER 미국30년국채스트립액티브(합성 H),매수,1140,38323.0,43687800
안전,해외채권_종합,2025-07-22,458250,TIGER 미국30년국채스트립액티브(합성 H),매수,161,37181.0,5986141
안전,해외채권_회사채,2025-07-08,458260,TIGER 미국투자등급회사채액티브(H),매수,985,48730.0,47998970
위험,국내주식_섹터,2025-07-07,466920,SOL 조선TOP3플러스,매수,976,24578.0,23988140
위험,국내주식_섹터,2025-08-05,466920,SOL 조선TOP3플러스,매수,263,30360.0,7984680
위험,국내주식_섹터,2025-08-18,466920,SOL 조선TOP3플러스,매도,1239,30220.0,37442580
위험,국내주식_섹터,2025-08-22,466920,SOL 조선TOP3플러스,매수,980,30590.0,29978200
위험,국내주식_섹터,2025-08-25,466920,SOL 조선TOP3플러스,매도,980,30220.0,29615600
위험,국내주식_섹터,2025-08-27,466920,SOL 조선TOP3플러스,매수,948,31630.0,29985005
안전,금리연계형/초단기채권,2025-07-08,469830,SOL 초단기채권액티브,매수,899,53345.0,47957155
위험,해외주식_섹터,2025-07-29,483280,KODEX 미국AI테크TOP10타겟커버드콜,매수,1730,11555.0,19990150
위험,해외주식_섹터,2025-08-27,483280,KODEX 미국AI테크TOP10타겟커버드콜,매수,1900,11744.0,22313600
위험,해외주식_섹터,2025-07-08,487230,KODEX 미국AI전력핵심인프라,매수,1347,14845.0,19996215
위험,해외주식_섹터,2025-07-24,487230,KODEX 미국AI전력핵심인프라,매도,1347,16530.0,22265910
